DEPT,DTCO,DTSM,ECGR,Fac,PHIE_fin,RD,RHOB,SWE_INDO,TNPH,VSH_FINAL
5169,74.43430328,142.3674011,110.7602997,0,0,6.171299934,2.644599915,1,0.280781984,0.7842296
5169.5,76.38629913,141.9922943,119.3040009,0,0,6.080900192,2.704099894,1,0.243234009,0.7568001
5170,69.59519959,129.1513062,93.61000061,0,0,9.722900391,2.718600035,1,0.227597013,0.7336727
5170.5,70.90219879,133.3173981,112.9173966,0,0,7.972700119,2.638499975,1,0.250184,0.6997207
5171,76.29060364,140.199295,114.9729004,0,0,7.403399944,2.640500069,1,0.283014,0.7852192
5171.5,74.4029007,137.0635071,112.5167999,0,0,8.109000206,2.651299954,1,0.262304992,0.7450213
5172,73.04519653,129.6875,110.4652023,0,0,8.715499878,2.621900082,1,0.254845023,0.6926342
5172.5,67.55280304,122.726799,83.1765976,0,0,12.78030014,2.637099981,1,0.235935986,0.6620092
5173,68.65370178,122.023201,100.8582001,0,0,10.84109974,2.650000095,1,0.196529999,0.5768078
5173.5,67.46389771,122.7949982,102.2786026,0,0.020733237,10.71189976,2.626899958,1,0.167697996,0.4774179
5174,72.32990265,132.803894,93.30310059,0,0,7.89659977,2.644000053,1,0.211699009,0.6084278
5174.5,72.81950378,139.6432037,113.3507004,0,0,6.012199879,2.771100044,1,0.265938997,0.8906465
5175,75.3039093,140.3619995,113.8757019,0,0,7.032000065,2.672600031,1,0.29934901,0.8631783
5175.5,76.55258942,142.8695984,115.2361984,0,0,6.309999943,2.63409996,1,0.261909992,0.7244349
5176,76.70779419,147.2037048,122.2471008,0,0,6.336800098,2.632600069,1,0.257862002,0.7124657
5176.5,76.51779938,146.6744995,118.1760025,0,0,6.695300102,2.632100105,1,0.264016002,0.7274962
5177,76.85780335,141.7064056,111.072403,0,0,6.764699936,2.66899991,1,0.256082982,0.7494036
5177.5,72.9776001,139.6701965,103.9686966,0,0,8.607199669,2.768399954,1,0.248752996,0.8440071
5178,76.60990143,143.1652069,113.8905029,0,0,6.743199825,2.638200045,1,0.246160999,0.6891813
5178.5,74.48060608,139.7819977,110.9926987,0,0,8.001399994,2.661600113,1,0.292088002,0.832247
5179,74.99629974,141.4338989,106.1155014,0,0,6.904799938,2.682600021,1,0.241209999,0.7271881
5179.5,76.35520172,139.7955017,117.5295029,0,0,7.788899899,2.6177001,1,0.269661009,0.7254089
5180,73.38359833,131.9777069,113.7100983,0,0,8.508899689,2.634000063,1,0.221874014,0.6228337
5180.5,73.02269745,131.5205994,108.7105026,0,0,9.392399788,2.631400108,1,0.210524991,0.5911044
5181,70.52300263,129.7978973,98.51439667,0,0,8.60779953,2.687200069,1,0.213437989,0.6620266
5181.5,74.61299896,141.4398041,111.4152985,0,0,5.723999977,2.690900087,1,0.254454017,0.7702115
5182,78.4756012,148.0865021,122.2099991,0,0,6.527699947,2.645999908,1,0.268932998,0.7557877
5182.5,76.56020355,148.0863953,114.3492966,0,0,6.129199982,2.62590003,1,0.264090002,0.7206239
5183,77.24188995,147.6864014,119.3753967,0,0,5.773900032,2.615099907,1,0.258875996,0.6951091
5183.5,74.82240295,139.2913055,110.3328018,0,0,5.285200119,2.674599886,1,0.284456015,0.8277031
5184,73.41899872,134.3574066,110.4029007,0,0,7.363999844,2.621000052,1,0.259038001,0.7022381
5184.5,71.0911026,130.9884033,98.6160965,0,0,8.008000374,2.689100027,1,0.208773002,0.6523648
5185,72.41600037,136.4893036,102.9890976,0,0,5.886400223,2.734400034,1,0.266865999,0.851207
5185.5,78.41570282,147.9855957,122.4013977,0,0,5.479700089,2.665400028,1,0.250607997,0.7314259
5186,77.40519714,145.5899963,118.1738968,0,0,5.767399788,2.64109993,1,0.262099981,0.7328871
5186.5,71.5059967,132.5209045,106.9293976,0,0,8.3270998,2.849100113,1,0.233810008,0.8980192
5187,70.33470154,133.9597931,93.84570313,0,0,6.183499813,2.676300049,1,0.269325018,0.7912834
5187.5,77.38560486,147.9387054,122.0082016,0,0,4.97660017,2.607399941,1,0.260076016,0.6893833
5188,78.23999786,149.3110962,118.3581009,0,0,5.170000076,2.65440011,1,0.295969009,0.8338865
5188.5,74.54540253,140.2474976,114.7080002,0,0,6.250400066,2.767400265,1,0.258194,0.8668008
5189,72.45780182,146.089798,91.71099854,0,0,5.354800224,2.653300047,1,0.305611998,0.857078
5189.5,78.86669922,151.1679993,126.5423966,0,0,4.789400101,2.61680007,1,0.276169002,0.7408812
5190,74.49079895,139.091507,113.2791977,0,0,6.414500237,2.763600111,1,0.281040013,0.9203861
5190.5,64.46450043,121.5702972,72.25869751,0,0,12.00010014,2.721299887,1,0.191501007,0.645247
5191,66.68049622,124.1530991,76.21109772,0,0,8.940199852,2.682800055,1,0.204564989,0.6345242
5191.5,66.73719788,125.413002,86.61489868,0,0,9.546699524,2.796999931,1,0.190932006,0.7300023
5192,65.58049774,127.6740036,78.68650055,0,0,9.213000298,2.681400061,1,0.216459006,0.6630803
5192.5,72.40499878,137.4161072,96.37159729,0,0,6.81099987,2.644500017,1,0.203505993,0.5882285
5193,70.19609833,132.5413971,91.48300171,0,0,9.753199577,2.691099882,1,0.248521,0.7553994
5193.5,72.34590149,132.4933014,98.26339722,0,0,7.13740015,2.652499914,1,0.220305011,0.6399217
5194,72.2614975,134.2653961,95.26519775,0,0,8.036700249,2.653600216,1,0.227964997,0.660592
5194.5,72.54429627,138.2129059,91.582901,0,0,5.309400082,2.648699999,1,0.225450993,0.6486394
5195,69.26300049,133.3621063,80.55879974,0,0,4.902500153,2.759500027,1,0.227131009,0.7790632
5195.5,70.72850037,134.1909027,85.16539764,0,0,5.869400024,2.664200068,1,0.220048994,0.6525954
5196,73.14160156,133.433197,93.44290161,0,0,6.519100189,2.663300037,1,0.208630011,0.6226245
5196.5,66.47869873,127.7705994,66.49960327,0,0,9.918800354,2.852400065,1,0.237912998,0.9121774
5197,66.51229858,125.3761978,75.37509918,0,0,6.867800236,2.682699919,1,0.198297009,0.6185215
5197.5,72.49220276,132.2601929,91.86949921,0,0,5.966899872,2.741100073,1,0.241537988,0.794632
5198,71.1733017,140.2649994,90.30599976,0,0,5.379399777,2.650599957,1,0.235121995,0.6753179
5198.5,74.31060028,138.9900971,94.05670166,0,0,6.68599987,2.676800013,1,0.222169995,0.6723192
