DEPT,ECGR,RD,TNPH,RHOB,DTCO,DTSM
5166.5,74.8227005,14.14599991,0.140138999,2.690999985,64.88159943,119.5199966
5167,75.31109619,7.422299862,0.181217,2.6881001,66.77960205,123.8949966
5167.5,52.67160034,8.52270031,0.156893998,2.71269989,64.63200378,121.1281967
5168,108.870697,7.089600086,0.183754012,2.669399977,66.02999878,126.4998016
5168.5,91.38020325,2.545599937,0.282804996,2.667200089,77.41369629,159.3105011
5169,85.45580292,4.991499901,0.265368998,2.700500011,80.23100281,153.845398
5169.5,77.34940338,6.482999802,0.197884008,2.681799889,66.8132019,124.7464981
5170,90.84559631,5.927000046,0.216793999,2.6723001,70.82869721,132.4449005
5170.5,94.20680237,4.659200192,0.219965994,2.6723001,71.75319672,135.7245026
5171,96.53679657,4.337600231,0.245166004,2.683000088,74.54920197,141.4472961
5171.5,113.9682007,3.892400026,0.260942012,2.677000046,77.73459625,149.7471924
5172,66.19960022,4.099100113,0.266497016,2.667700052,77.07119751,146.9143066
5172.5,85.24549866,9.866999626,0.182428002,2.690099955,65.8864975,120.6041031
5173,77.54509735,9.919899941,0.172021002,2.692199945,64.89530182,116.9166031
5173.5,88.81680298,9.618000031,0.194571987,2.6881001,66.43810272,120.8197022
5174,89.90920258,6.894999981,0.203576997,2.676500082,69.60310364,128.4302063
5174.5,89.18990326,5.605000019,0.243946984,2.676300049,72.6855011,134.9813995
5175,88.51730347,4.878099918,0.236165002,2.678100109,72.80269623,134.3813934
5175.5,85.6414032,7.971199989,0.222333998,2.70539999,69.73989868,124.9972
5176,75.22689819,6.996200085,0.176128998,2.67750001,66.76820374,121.6637039
5176.5,68.10469818,10.42700005,0.157388002,2.672100067,64.45819855,115.4988022
5177,82.91059876,8.916099548,0.174104989,2.672899962,66.61640167,119.5194016
5177.5,82.125,8.781599999,0.18670401,2.683500052,66.39209747,119.4806976
5178,93.06420136,6.749899864,0.202693,2.665499926,68.99819946,124.9231033
5178.5,102.0093994,4.879099846,0.224122003,2.670599937,74.50530243,138.6443939
5179,99.95960236,4.010499954,0.255539,2.683799982,76.85140228,145.9353027
5179.5,81.03929901,5.16779995,0.252974004,2.671900034,73.30449677,136.5032044
5180,56.09899902,8.791500092,0.158300996,2.682699919,64.80580139,119.7361984
5180.5,120.0513001,6.647699833,0.152054995,2.69020009,75.47119904,154.0960999
5181,123.2414017,2.467700005,0.327033997,2.63380003,86.28240204,166.8204956
5181.5,70.89839935,2.937200069,0.279848993,2.681999922,77.40219879,146.910202
5182,47.46989822,16.31509972,0.118272997,2.679399967,61.13430023,116.850502
5182.5,38.45550156,38.04320145,0.069635004,2.716500044,56.79539871,102.7475967
5183,47.55780029,67.15619659,0.070953995,2.697499991,54.78979874,97.02390289
5183.5,49.57720184,54.42100143,0.078055002,2.676700115,55.60509872,98.02549744
5184,59.41220093,33.14649963,0.098142996,2.681200028,57.87779999,103.1285934
5184.5,68.16500092,21.15800095,0.125811994,2.681799889,59.71889877,106.7370987
5185,70.61990356,10.89159966,0.286152005,2.690599918,63.16820145,114.0738983
5185.5,70.84529877,9.083200455,0.283784986,2.677599907,66.2263031,119.2291031
5186,105.8590012,5.986999989,0.216970012,2.696799994,72.13400269,133.821106
5186.5,108.0007019,3.960400105,0.233661994,2.674400091,76.88459015,145.7854004
5187,128.4577942,3.405800104,0.296077013,2.659100056,79.04219818,151.4223023
5187.5,83.98709869,3.960700035,0.279215992,2.639300108,77.0699997,144.008194
5188,104.7498016,6.844900131,0.198481008,2.702100039,71.71790314,133.2613068
5188.5,105.8965988,3.944200039,0.099597998,2.680099964,69.47100067,129.9349976
5189,120.7148972,3.25819993,0.12861301,2.672800064,76.11229706,146.8943024
5189.5,52.74639893,3.600399971,0.149141997,2.670099735,81.96589661,159.2312012
5190,46.87210083,14.25580025,0.173346996,2.684700012,66.84159851,127.104599
5190.5,59.2655983,13.76239967,0.202366009,2.669199944,58.99349976,108.975502
5191,74.00479889,9.178299904,0.239571005,2.663599968,64.47530365,117.8701019
5191.5,67.6595993,7.875899792,0.24545601,2.663000107,66.56860352,121.8255997
5192,86.28070068,6.777800083,0.263128996,2.65440011,67.665802,125.1950989
5192.5,97.08159638,4.268199921,0.287248999,2.651299954,73.4552002,136.6533051
5193,94.3687973,4.05670023,0.272637993,2.656699896,75.27309418,141.7196045
5193.5,97.41290283,3.834500074,0.168204993,2.694000006,76.65039063,145.0068054
5194,101.8921967,3.228399992,0.122686997,2.702899933,79.31629944,152.0693054
5194.5,112.3292007,2.629199982,0.186618,2.654700041,83.01010132,159.8925934
5195,72.66419983,4.038099766,0.178780988,2.659199953,78.42639923,149.8666992
5195.5,48.5428009,9.322799683,0.277770996,2.642400265,65.10040283,121.3159027
5196,49.04349899,13.48009968,0.269578993,2.679100037,60.37770462,113.4838028
