DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH,DTSM_predict
4969.5,10.18379974,1062.31897,68.25189972,105.6287994,2.355600119,0.033099998,102.72
4970,10.45680046,648.0374756,68.71089935,107.8565979,2.363300085,0.033299997,103.17
4970.5,8.989100456,425.8543091,67.15820313,105.0959015,2.405299902,0.0321,99.93
4971,10.97630024,294.8179932,65.63480377,101.5197983,2.431099892,0.033399999,97.96
4971.5,14.59300041,335.4088135,65.68360138,99.71240997,2.386699915,0.0286,99.28
4972,47.10029984,238.2808075,65.50779724,103.5121002,2.394099951,0.0405,100.53
4972.5,31.26790047,92.22879791,66.77729797,107.1779022,2.423899889,0.062800005,100.30
4973,25.45940018,160.7149048,64.57029724,104.5854034,2.517400265,0.069699995,98.38
4973.5,24.9654007,238.5119934,64.10160065,101.1650009,2.496099949,0.0546,97.29
4974,31.24080086,438.5617981,67.43160248,104.4828033,2.48119998,0.064800002,102.74
4974.5,36.88600159,536.0324707,69.21880341,112.1970978,2.423099995,0.073699996,103.92
4975,30.84119988,493.3857117,68.72070313,106.6406021,2.457299948,0.061900001,103.77
4975.5,33.66540146,279.9443054,70.08789825,110.6207962,2.375200033,0.069299996,105.20
4976,12.46090031,80.19529724,63.47660065,104.3187027,2.483200312,0.054400001,97.41
4976.5,43.27489853,80.8588028,62.01169968,98.19400024,2.49029994,0.046999998,97.42
4977,18.80349922,53.68830109,63.28120041,99.05519867,2.539599896,0.048800003,98.00
4977.5,12.46549988,47.74679947,64.88279724,103.1500015,2.535200119,0.058699999,97.71
4978,74.7009964,24.76740074,63.75980377,102.5543976,2.507800102,0.049099997,100.71
4978.5,70.82510376,4.951900005,64.91210175,100.5530014,2.608299971,0.088199996,104.80
4979,61.37379837,9.514900208,69.61910248,113.8049011,2.673599958,0.146300003,120.55
4979.5,78.74089813,24.81769943,62.19729996,103.8958969,2.572900057,0.0722,100.28
4980,128.6063995,21.82939911,62.09960175,102.4105988,2.588999987,0.079899997,104.23
4980.5,119.1813965,8.301099777,63.9355011,104.1351013,2.62409997,0.156300008,113.51
4981,106.3470001,6.011899948,75.67379761,135.1470032,2.636300087,0.202399999,135.67
4981.5,106.6388016,5.864799976,72.13870239,129.8233032,2.655900002,0.172800005,129.35
4982,114.0708008,10.45489979,65.10739899,118.963501,2.61439991,0.135100007,113.83
4982.5,94.59700012,10.03359985,70.81060028,118.7735977,2.612600088,0.157100007,122.36
4983,112.5510025,9.837300301,67.09960175,118.3029938,2.649600029,0.134300008,118.80
4983.5,104.2330017,7.904200077,68.92579651,113.6071014,2.635400057,0.143900007,122.18
4984,45.93040085,8.49050045,69.70700073,119.7113037,2.637200117,0.155100003,120.48
4984.5,10.81029987,21.8477993,65.27339935,119.3843994,2.673399925,0.081800006,101.96
4985,32.16379929,118.0770035,63.125,98.5963974,2.461699963,0.0298,98.08
4985.5,92.51619721,469.2219849,63.45700073,96.07849884,2.421999931,0.0297,100.79
4986,11.80620003,35.16090012,66.34770203,100.9723969,2.446000099,0.0579,97.86
4986.5,67.06259918,45.96920013,68.04689789,113.8718033,2.583800077,0.089700006,106.16
4987,31.29199982,112.7128983,62.70510101,97.08079529,2.515300036,0.052099999,98.09
4987.5,13.86830044,39.8390007,64.88279724,102.7949982,2.51789999,0.067400001,97.47
4988,7.336200237,74.63269806,60.76169968,103.4605026,2.499200106,0.054499999,94.71
4988.5,20.27869988,722.2780151,66.71880341,102.3320999,2.306600094,0.030099999,102.89
4989,8.41629982,1950,68.95510101,108.0963974,2.268300057,0.032400001,102.93
4989.5,8.996100426,1950,69.66799927,110.4741058,2.271300077,0.034899999,103.54
4990,9.433300018,1950,71.23049927,113.7890015,2.273900032,0.036600001,106.34
4990.5,9.499799728,1802.641846,70.37110138,111.5832977,2.282700062,0.032499999,104.33
4991,10.56340027,1379.792236,71.18160248,112.5478897,2.280999899,0.033800002,106.55
4991.5,9.02420044,947.4099731,71.04489899,109.8692017,2.280699968,0.0308,106.47
4992,8.283100128,1318.924683,69.66799927,112.1731033,2.312400103,0.032200001,103.84
4992.5,7.982399941,1098.288208,69.12110138,106.8750076,2.314599991,0.0339,103.69
4993,8.520799637,1357.182861,69.66799927,108.4126968,2.279000044,0.0307,103.93
4993.5,9.588399887,1944.796143,69.16989899,108.8640976,2.286000013,0.028299999,102.95
4994,8.99050045,1950,68.88670349,108.5145035,2.318200111,0.032000002,102.89
4994.5,10.66300011,1263.169067,69.05269623,108.3362045,2.32949996,0.0309,103.69
4995,9.286000252,1083.805054,68.29100037,108.4011002,2.414999962,0.033099998,101.71
4995.5,7.974899769,1277.733154,68.26170349,107.2285996,2.317699909,0.033599999,103.26
4996,7.974899769,1860.967529,66.74810028,103.4869995,2.380199909,0.034600001,100.20
4996.5,9.002400398,1931.090088,67.57810211,104.5185928,2.310899973,0.032600001,102.35
4997,8.41629982,1950,67.28520203,105.7050018,2.329699993,0.028900001,102.34
4997.5,10.50640011,1950,67.69529724,106.7273026,2.311199904,0.0273,102.55
4998,9.784799576,1880.812744,68.19339752,107.2910004,2.267800093,0.026199998,102.94
4998.5,13.30440044,1914.598999,67.99810028,107.9279022,2.252599955,0.026099999,103.03
4999,46.43529892,1818.232788,67.78320313,106.9187012,2.32069993,0.025699999,103.21
4999.5,14.81019974,1095.42627,68.06639862,108.6318893,2.299700022,0.027000001,103.58
5000,19.75629997,503.9695129,65.00980377,100.1361084,2.405400038,0.034400001,98.52
5000.5,64.69519806,464.1162109,67.30470276,104.5802994,2.44630003,0.052699998,104.37
5001,9.715200424,266.2340088,64.65820313,105.6631012,2.473500013,0.0429,97.90
5001.5,10.20040035,70.6917038,66.82620239,103.7951965,2.50180006,0.047800001,100.30
5002,10.90149975,228.1728058,64.78520203,106.3980026,2.494699955,0.048899997,97.75
5002.5,10.91049957,1950,69.21880341,105.4641037,2.374300003,0.027899999,103.23
5003,11.3913002,1950,65.82029724,109.0717011,2.397200108,0.028900001,99.69
5003.5,33.0007019,1237.99646,67.38279724,104.0018997,2.370800018,0.029200001,103.58
5004,16.57679939,1950,67.79299927,107.5526962,2.339799881,0.032499999,103.48
5004.5,18.36059952,533.9594116,68.35939789,106.6026001,2.356699944,0.042199999,105.64
5005,15.01519966,358.4331055,66.36720276,104.8934021,2.412699938,0.050100002,99.84
5005.5,43.19869995,176.4087067,69.60939789,108.1762009,2.352999926,0.051399998,105.52
5006,8.254599571,280.1600952,66.52339935,107.4561005,2.381200314,0.049099997,100.79
5006.5,9.520899773,128.9651947,67.87110138,105.6919022,2.381799936,0.046599999,103.57
5007,10.59990025,297.2217102,66.11329651,106.5428009,2.349100113,0.042199999,102.36
5007.5,10.52250004,751.7758789,68.94529724,107.1854019,2.283899784,0.029100001,104.48
5008,13.42469978,1356.853394,67.12889862,109.1582947,2.315000057,0.026099999,102.76
5008.5,13.06739998,1666.134644,66.28910065,105.2726975,2.353199959,0.025,101.72
5009,15.60249996,1950,64.87310028,103.1904984,2.374799967,0.025,99.51
5009.5,9.243700028,1127.925415,63.65230179,100.6251984,2.42689991,0.028099999,96.87
5010,9.239299774,1244.858643,63.74020004,101.9460983,2.440700054,0.033399999,96.95
5010.5,10.92570019,1458.682739,66.44529724,101.8061981,2.378499985,0.0321,100.38
5011,24.38629913,1775.819092,69.08200073,107.8271027,2.296000004,0.033700001,103.91
5011.5,9.585300446,1013.388916,68.56439972,107.4483032,2.331599951,0.036899999,104.63
5012,10.30280018,349.7164917,66.97270203,104.8924027,2.412699938,0.040799998,100.47
5012.5,8.317199707,864.6124268,66.20120239,106.6817017,2.404999971,0.032400001,99.11
5013,10.00699997,1062.200195,67.91989899,106.9690018,2.344700098,0.029300001,104.03
5013.5,15.83209992,1631.912964,66.81639862,107.7060013,2.335799933,0.026300002,102.69
5014,10.36219978,1674.084473,67.50980377,105.4779968,2.34800005,0.026900001,102.98
5014.5,9.537699699,1540.536255,67.90039825,108.9336014,2.359999895,0.033599999,103.39
5015,9.420999527,1917.825928,67.65619659,106.9738007,2.361799955,0.0319,102.48
5015.5,9.761300087,710.7709961,66.88480377,106.5292969,2.358599901,0.0319,101.59
5016,7.87650013,239.6670075,67.87110138,106.907608,2.367500067,0.0298,103.60
5016.5,7.919099808,117.1451035,68.28119659,106.2751007,2.364099979,0.0354,103.95
5017,24.5522995,75.94159699,67.85160065,106.683403,2.327800036,0.035599999,104.35
5017.5,99.50389862,32.8445015,69.00389862,110.4483032,2.320300102,0.040799998,106.50
5018,91.42279816,2.909399986,65.15619659,108.5846024,2.492500067,0.093500003,106.96
5018.5,79.87809753,2.554399967,67.32420349,111.6858978,2.842200041,0.139899999,115.97
5019,72.89080048,8.725700378,66.02539825,112.2504044,2.707299948,0.123000003,109.96
5019.5,82.51100159,10.86289978,64.80470276,106.785202,2.689199925,0.104499996,106.98
5020,82.40930176,11.98639965,62.6269989,103.4233017,2.760200024,0.101300001,103.39
5020.5,91.66069794,8.795900345,64.78520203,107.1324005,2.743599892,0.115699999,110.36
5021,89.56719971,8.762299538,64.79489899,107.6253967,2.693200111,0.111999996,109.68
5021.5,84.21330261,8.714599609,65.29299927,109.7639008,2.682100058,0.1197,109.96
5022,50.1128006,9.808099747,64.95120239,111.0752029,2.672100067,0.110600002,106.40
5022.5,54.43190002,10.11919975,64.36519623,106.1955032,2.670399904,0.100600004,105.93
5023,90.05799866,23.83029938,59.5019989,96.20120239,2.752500057,0.090600006,98.72
5023.5,93.79949951,9.273799896,55.66410065,95.30120087,2.817699909,0.091300003,101.83
5024,87.60679627,8.469400406,66.22070313,113.0425034,2.66140008,0.132700011,112.67
5024.5,54.76470184,8.711500168,68.08589935,115.3447037,2.637000084,0.1558,117.35
5025,59.2336998,8.664299965,66.98239899,115.0077972,2.669199944,0.131099999,112.00
5025.5,63.03730011,21.77709961,60.55659485,102.2825012,2.754699945,0.102899998,98.78
5026,83.02249908,18.85639954,61.08399963,101.7649002,2.70630002,0.103199996,100.97
5026.5,85.14900208,13.53680039,60.32229996,100.1759033,2.70510006,0.104599997,100.78
5027,90.3553009,8.249400139,64.21880341,118.7580032,2.683199883,0.132200003,111.41
5027.5,101.8116989,9.777299881,67.83200073,120.5108032,2.689199925,0.152199999,119.69
5028,90.39620209,7.958099842,67.82230377,122.8912964,2.700700045,0.16520001,118.96
5028.5,102.8582001,7.859499931,70.76170349,125.9032974,2.653700113,0.174099997,125.32
5029,91.01290131,7.961500168,69.40429688,123.740799,2.691200018,0.183899999,123.40
5029.5,92.49420166,9.006799698,70.625,129.421402,2.691299915,0.177399993,124.68
5030,98.25769806,9.652899742,68.83789825,122.8386002,2.685899973,0.183799997,121.07
5030.5,101.8242035,11.07019997,70.91799927,127.4319,2.698899984,0.197300002,125.12
5031,103.575798,7.186299801,68.34960175,127.4504013,2.692699909,0.200300008,121.46
5031.5,100.947197,7.771900177,70.90820313,130.3883972,2.699700117,0.192000002,126.41
5032,110.0339966,7.380899906,71.54299927,129.0968018,2.714600086,0.200000003,129.78
5032.5,92.9641037,5.588699818,71.07420349,-999.25,2.698600054,0.205799997,128.52
5033,86.13500214,5.795400143,72.8125,-999.25,2.686300039,0.204099998,130.67
5033.5,90.3891983,8.217499733,67.76370239,-999.25,2.731699944,0.173999995,118.99
5034,103.941803,8.006199837,67.03119659,129.8751068,2.736099958,0.173600003,118.04
5034.5,108.5279999,7.186200142,68.98439789,128.8943024,2.712300062,0.188999996,123.87
5035,98.63590241,6.799200058,70.80079651,134.712204,2.733700037,0.181800008,126.45
5035.5,103.3003998,6.892199993,71.89450073,134.7050934,2.695100069,0.19569999,128.83
5036,99.99169922,7.015100002,69.24810028,126.6951065,2.69720006,0.197600007,123.60
5036.5,81.93029785,6.788499832,69.84380341,129.1472015,2.706799984,0.185499996,125.44
5037,88.90930176,8.436100006,68.45700073,123.8958969,2.704799891,0.171700001,119.92
5037.5,78.47350311,12.45199966,64.61910248,117.2078018,2.752799988,0.142200008,107.88
5038,74.08920288,10.63640022,65.69339752,115.1070938,2.729099989,0.138699994,110.44
5038.5,86.19270325,12.05210018,64.63870239,114.0770035,2.736000061,0.119499996,106.74
5039,71.90979767,12.93980026,62.7831955,107.4321976,2.765899897,0.113199994,103.82
5039.5,65.20330048,12.71660042,63.49610138,110.3720017,2.69659996,0.1162,104.76
5040,62.51240158,13.16170025,64.74610138,108.5136948,2.724299908,0.100900002,104.63
5040.5,87.68419647,15.92370033,62.95899963,104.3236008,2.715899944,0.083700001,102.38
5041,71.62069702,20.74720001,61.02539825,102.4461975,2.720999956,0.078400001,99.47
5041.5,87.7263031,18.99209976,61.93360138,100.7167969,2.699300051,0.081999995,100.66
5042,78.62729645,13.24330044,64.74610138,107.8069077,2.661299944,0.117200002,106.03
5042.5,63.32559967,9.635399818,66.96289825,116.9200974,2.729000092,0.130999997,111.92
5043,72.96970367,13.79850006,63.2030983,106.1436997,2.706799984,0.109700002,103.68
5043.5,59.29430008,15.8355999,62.24610138,101.9685974,2.677599907,0.074299999,100.07
5044,85.82980347,13.41049957,62.66600037,102.3636017,2.719399929,0.081800006,102.63
5044.5,69.16739655,13.56799984,61.56250382,102.249794,2.682499886,0.082399994,101.16
5045,75.51059723,13.24250031,62.67580032,104.9972,2.708400011,0.086800002,102.00
5045.5,80.457901,14.22329998,62.02150345,100.9775085,2.71239996,0.074000001,101.72
5046,70.80639648,13.4708004,63.01760101,104.790802,2.701299906,0.083900005,102.77
5046.5,93.07769775,12.10429955,63.16410065,103.8156967,2.664999962,0.079800002,104.54
5047,59.89160156,14.78530026,60.44920349,101.8534012,2.710900068,0.074000001,99.04
5047.5,63.30210114,15.14410019,60.20510101,103.0558014,2.697900057,0.071500003,98.11
5048,66.94360352,22.63269997,59.99020004,98.61460114,2.713900089,0.060700003,97.79
5048.5,75.5667038,30.38529968,60.06840134,98.96299744,2.733599901,0.070100002,98.44
5049,54.59400177,21.5727005,60.31250382,101.7222977,2.815299988,0.0924,97.92
5049.5,77.38220215,19.12050057,61.29880142,100.8741913,2.663599968,0.073699996,99.55
5050,102.3192978,30.61420059,59.68750382,101.1840973,2.605099917,0.052800003,97.31
5050.5,105.7372971,8.9854002,65.61519623,105.4602051,2.690599918,0.092,113.74
5051,97.55220032,11.5138998,62.50980377,105.2925034,2.694700003,0.095600002,103.93
5051.5,110.8879013,10.53419972,64.39450073,108.6408005,2.670399904,0.094899997,110.56
5052,108.5917969,9.787599564,65.19529724,107.219902,2.678600073,0.103999995,113.25
5052.5,87.38860321,8.860199928,64.03320313,106.7222977,2.904500008,0.143399999,108.78
5053,112.0339966,6.857800007,65.20510101,-999.25,3.026299954,0.174699992,115.05
5053.5,111.4644013,8.98029995,66.71880341,-999.25,3.001699925,0.164599985,117.61
5054,131.3229981,3.967099905,66.54299927,-999.25,2.810300112,0.146899998,118.90
5054.5,113.1706009,2.604199886,70.94730377,-999.25,2.669399977,0.172399998,130.32
5055,69.99590302,12.91110039,75.61519623,123.8038025,2.670000076,0.188299999,129.72
5055.5,65.21260071,23.43370056,68.57420349,132.7052002,2.76060009,0.145699993,113.03
5056,44.54109955,7.425799847,63.16410065,109.9843979,2.71420002,0.072800003,103.50
5056.5,74.26719666,26.80990028,64.18939972,105.0615006,2.518399954,0.048,100.93
5057,47.95489883,44.04560089,60.45899963,104.995697,2.518599987,0.047199998,94.63
5057.5,45.85499954,36.05009842,61.71879578,97.77739716,2.598799944,0.055399999,98.48
5058,36.1086998,24.57799912,63.24219513,101.9234009,2.54460001,0.053300001,98.58
5058.5,39.68909836,42.50799942,60.13669968,101.3862,2.583499908,0.054400001,95.52
5059,41.99240112,32.30049896,58.38869858,104.4998932,2.61529994,0.056399997,94.39
5059.5,73.27909851,33.62639999,68.71089935,98.34970093,2.442300081,0.078699999,105.41
5060,65.6516037,32.16749954,67.83200073,110.3599014,2.395600081,0.076099999,104.36
5060.5,56.12260056,21.4428997,67.56839752,109.5643005,2.461199999,0.074299999,102.74
5061,43.89590073,21.40460014,66.93360138,108.9717026,2.453299999,0.074200004,99.19
5061.5,43.14179993,18.91930008,68.22270203,105.8792038,2.467200041,0.073899999,102.75
5062,60.94960022,21.37490082,68.45700073,108.4810944,2.456399918,0.072499998,105.23
5062.5,55.28530121,18.43079948,68.37889862,108.1239014,2.402800083,0.074699998,104.50
5063,58.65539932,15.82390022,70.18560028,111.1615982,2.428200007,0.079800002,108.89
5063.5,68.98709869,23.32040024,66.70899963,111.8603973,2.491499901,0.080600001,101.09
5064,75.0306015,17.7954998,65.18560028,108.5723114,2.522300005,0.072999999,102.26
5064.5,49.229599,17.90379906,65.56639862,104.7171936,2.499200106,0.064899996,99.22
5065,56.43000031,21.87389946,62.92969894,102.9810028,2.508100033,0.062800005,98.84
5065.5,68.58499908,19.46710014,65.42970276,100.2855988,2.477300167,0.061799999,101.03
5066,55.6006012,21.99959946,64.33589935,102.2949905,2.487099886,0.067100003,99.22
5066.5,76.19589996,18.50119972,64.23829651,102.3265991,2.525000095,0.065399997,101.44
5067,60.27970123,21.24819946,64.22850037,102.3594971,2.476200104,0.054899998,100.38
5067.5,93.90579987,23.15239906,63.83789825,102.2533035,2.531399965,0.054400001,102.67
5068,59.18920136,55.75770187,57.95899963,103.4139023,2.680500031,0.0469,95.47
5068.5,70.16419983,17.23690033,60.10739899,94.23179627,2.633699894,0.051999997,97.84
5069,76.23100281,24.64649963,60.91799927,93.854599,2.710099936,0.054200001,99.96
5069.5,96.64929962,20.01810074,60.8594017,99.3006897,2.616600037,0.0614,99.72
5070,123.9458008,16.63850021,61.85549545,99.51750183,2.622200012,0.1153,105.70
5070.5,114.3572998,5.732500076,70.20510101,99.67120361,2.648400068,0.190499991,126.93
5071,88.48149872,5.487199783,74.93160248,99.36579895,2.6256001,0.144700006,131.17
5071.5,104.5159988,9.982099533,67.91989899,-999.25,2.638200045,0.085299999,116.60
5072,76.77010346,20.06500053,61.19139862,-999.25,2.699100018,0.083400004,99.66
5072.5,57.64730072,17.98990059,62.54880142,-999.25,2.681400061,0.064099997,100.47
5073,94.34089661,17.81780052,60.82030106,-999.25,2.630100012,0.063500002,99.88
5073.5,98.29509735,30.20210075,58.99409866,-999.25,2.682600021,0.0735,97.41
5074,66.20960236,18.40060043,61.07420349,-999.25,2.643899918,0.068899997,99.24
5074.5,70.80010223,16.48310089,61.56250382,-999.25,2.660200119,0.064300001,100.32
5075,73.52210236,23.49900055,60.7030983,-999.25,2.691200018,0.075100005,98.49
5075.5,108.7811966,16.79330063,63.46680069,-999.25,2.617799997,0.081899993,105.48
5076,76.21089935,19.54109955,61.0644989,-999.25,2.708300114,0.079899997,100.10
5076.5,80.57620239,19.04430008,61.58200073,-999.25,2.660099983,0.077600002,100.47
5077,89.51090241,18.93700028,60.63480377,-999.25,2.645699978,0.068999998,99.70
5077.5,97.30690002,20.25499916,59.8144989,-999.25,2.691800118,0.074000001,98.36
5078,83.00569916,14.7954998,62.29489517,-999.25,2.699199915,0.074600004,102.23
5078.5,90.05999756,17.35560036,62.33399963,-999.25,2.665600061,0.0722,102.06
5079,99.77700043,14.16889954,62.48049545,-999.25,2.647799969,0.074099995,103.14
5079.5,88.26139832,14.58460045,62.16799927,-999.25,2.716500044,0.072999999,103.01
5080,112.5811997,17.66209984,60.79100037,-999.25,2.783200026,0.067400001,103.68
5080.5,91.71749878,14.18080044,62.01169968,-999.25,2.784399986,0.065099999,103.46
