DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH
4979.5,79.68180084,15.76000023,64.50260162,111.0714035,2.663800001,0.188040003
4980,94.81600189,16.99379921,66.61389923,115.2794037,2.682199955,0.186673999
4980.5,90.28630066,19.71980095,67.14859772,114.441597,2.674799919,0.201873004
4981,83.69609833,19.86289978,65.72660065,112.7335968,2.655400038,0.208167002
4981.5,65.39170075,18.96269989,63.2655983,106.6325989,2.644000053,0.194528014
4982,63.19300079,20.68700028,59.49010086,104.1187973,2.646199942,0.146652997
4982.5,72.42150116,37.7256012,61.09999847,103.9904022,2.697499991,0.128100991
4983,90.16079712,35.07849884,66.47399902,112.0198975,2.677299976,0.142694995
4983.5,84.1332016,29.79820061,65.14209747,111.8844986,2.66230011,0.200860009
4984,97.51599884,15.44340038,65.91410065,114.7650986,2.64470005,0.202966005
4984.5,114.0912018,25.78000069,72.94989777,126.2916031,2.664999962,0.244034007
4985,100.3878021,13.46280003,70.64959717,121.2947006,2.626300097,0.273166001
4985.5,83.91539764,9.375800133,64.80909729,111.8134995,2.653600216,0.261752993
4986,77.33950043,13.09879971,64.41770172,106.3955002,2.667900085,0.187049002
4986.5,67.75920105,20.7493,61.48910141,104.8526001,2.658200026,0.165914998
4987,79.65399933,24.39139938,65.4163971,111.3852005,2.686199904,0.160361007
4987.5,93.52770233,29.83679962,67.46880341,115.0054016,2.676800013,0.174071997
4988,91.77639771,15.23460007,68.76200104,120.3417969,2.654599905,0.225349009
4988.5,99.44210053,14.77859974,68.92590332,117.3576965,2.66869998,0.25445199
4989,89.16269684,13.81200028,67.88529968,114.4697037,2.670099735,0.237998009
4989.5,81.24279785,14.23169994,65.85500336,112.2256012,2.659399986,0.22449699
4990,98.75499725,17.03949928,68.54319763,114.4553986,2.663500071,0.200910002
4990.5,89.57050324,16.8132,66.36019898,110.6661987,2.633599997,0.222544
4991,72.25700378,18.76810074,61.50899887,104.2342911,2.649600029,0.196280003
4991.5,82.23079681,20.29269981,64.52359772,105.7526016,2.671499968,0.171404004
4992,69.49469757,29.89170075,62.36000061,104.8018036,2.634999991,0.167931005
4992.5,59.91019821,24.56019974,61.40439987,103.7706986,2.657200098,0.152541995
4993,68.74720001,31.64299965,63.29790115,104.235199,2.682399988,0.140821993
4993.5,60.79079819,30.44400024,60.02980042,103.7334061,2.684000015,0.155613005
4994,59.88380051,25.63839912,61.10900116,103.5227966,2.653899908,0.133452997
4994.5,59.56010056,40.97570038,60.39020157,104.173996,2.674000025,0.135142997
