DEPT,ECGR,RD,RHOB,TNPH,DTCO,DTSM
4827.5,88.19139862,11.8803997,2.686500073,0.070827998,66.40139771,120.7438965
4828,460.6166992,11.80970001,2.633500099,0.107548997,66.42030335,121.0886002
4828.5,536.0507813,16.37719917,2.574899912,0.087599002,64.35929871,112.9445038
4829,74.19730377,21.28540039,2.585199833,0.102894001,62.49410248,104.0860977
4829.5,45.25279999,15.30480003,2.597800016,0.101027004,63.32309723,105.6791
4830,71.14969635,13.71829987,2.557100058,0.108112,60.89220047,99.69979858
4830.5,33.51549912,44.74599838,2.586800098,0.108934,56.13489914,91.64279938
4831,41.40039825,38.44469833,2.600699902,0.096273005,66.06700134,96.41329956
4831.5,42.56280136,77.93039703,2.639499903,0.083464004,57.65930176,97.8789978
4832,48.66559982,95.73889923,2.620199919,0.073558003,62.63010025,97.43849945
4832.5,52.82640076,71.74849701,2.621999979,0.081973001,66.17780304,101.2970963
4833,40.5923996,72.7806015,2.539599896,0.106253997,63.47940064,100.5697022
4833.5,47.57830048,70.30220032,2.516200066,0.111102,60.90730286,96.33959198
4834,31.33440018,177.6634979,2.528100014,0.106358007,61.14220047,98.47429657
4834.5,47.41770172,186.3404999,2.46690011,0.111784004,59.2397995,96.20010376
4835,30.29109955,158.1753998,2.48149991,0.110841997,65.12850189,99.40699768
4835.5,36.36880112,75.19920349,2.527800083,0.101027004,66.22979736,103.4347
4836,31.45070076,194.133606,2.534800053,0.115726993,65.73739624,100.1270981
4836.5,30.59609985,243.4026032,2.570199966,0.135876998,66.20369721,101.7647018
4837,45.81900024,155.953598,2.555099964,0.129485995,67.62059784,103.4033966
4837.5,54.97040176,154.0148926,2.542999983,0.129519001,61.13690186,100.3871002
4838,42.75740051,117.8602982,2.520699978,0.126619995,66.95369721,104.0736008
4838.5,40.35359955,66.17669678,2.615200043,0.117905997,66.33239746,105.735405
4839,32.9151001,55.32400131,2.529599905,0.115289003,68.81169891,104.6875
4839.5,50.84339905,73.38480377,2.563699961,0.124945,70.2983017,107.3816986
4840,45.24330139,97.30470276,2.5552001,0.11857,67.75869751,107.0279007
4840.5,41.09809876,64.79940033,2.448999882,0.103601001,65.87750244,102.9886093
4841,46.32759857,63.23180008,2.435100079,0.098586999,67.38420105,104.2809982
4841.5,42.9776001,60.86050034,2.544899941,0.109658003,65.15380096,103.2302017
4842,80.18229675,74.62069702,2.530999899,0.116811998,65.95490265,101.5799027
4842.5,54.29079819,45.3207016,2.481800079,0.099377006,63.27069855,99.44559479
4843,49.16260147,31.44930077,2.425699949,0.102800995,62.56349564,96.80599976
4843.5,42.97719955,38.29940033,2.539000034,0.104260996,65.01069641,99.97730255
4844,88.12950134,39.74629974,2.620800018,0.125465006,67.52909851,101.1145096
4844.5,40.08789825,41.36949921,2.575099945,0.114858002,66.97769928,103.3404999
4845,33.72029877,29.79459953,2.553900003,0.091531001,62.58480072,99.16149902
4845.5,51.45859909,53.98949814,2.555599928,0.106073998,64.33309937,95.0923996
4846,55.29589844,114.5718002,2.516499996,0.102683999,66.30789948,101.5921021
4846.5,49.60520172,68.55319977,2.54460001,0.094024003,63.57749558,99.78130341
4847,48.87929916,71.98970032,2.553999901,0.096758001,67.66790009,99.52899933
4847.5,68.55120087,73.12590027,2.585199833,0.111673005,66.98269653,101.4660034
4848,60.65629959,56.50529862,2.572099924,0.092994005,65.10009766,100.5139999
4848.5,43.34400177,50.62110138,2.516200066,0.103119999,64.17810059,99.04120636
4849,48.46689987,71.24420166,2.5618999,0.101935998,66.59089661,99.30760193
4849.5,68.50460053,90.54429627,2.544100046,0.095877998,67.49839783,104.2966995
4850,60.82730103,26.4321003,2.523999929,0.094935,64.43609619,103.194603
4850.5,60.76010132,49.64849854,2.581099987,0.098421,63.59389877,102.8210983
4851,51.43109894,53.0461998,2.567300081,0.090456002,64.1155014,97.44450378
4851.5,64.10720062,56.78839874,2.572999954,0.091858998,65.84940338,97.69020081
4852,56.67919922,59.00790024,2.586499929,0.090226002,65.55139923,100.4290009
4852.5,55.01860046,47.77930069,2.582700014,0.093891002,66.71330261,100.0299988
4853,57.66090012,51.54930115,2.658499956,0.113201,67.86920166,103.8424988
4853.5,63.50159836,37.99720001,2.687400103,0.113137998,66.04850006,104.527298
4854,55.02119827,32.47029877,2.760099888,0.109526999,63.16919708,100.854599
4854.5,57.60609818,45.98199844,2.573600054,0.104234003,62.52840042,99.06980133
4855,52.57939911,28.14789963,2.568900108,0.097975999,63.01530457,99.49970245
4855.5,48.28219986,30.59090042,2.607199907,0.103817999,63.65620041,103.4498978
4856,69.7365036,33.07339859,2.745399952,0.135631993,67.25640106,103.9181976
4856.5,63.38679886,31.81150055,2.725500107,0.124389999,63.51210022,101.880394
4857,60.62879944,21.50639916,2.806600094,0.108662993,62.70009995,101.5428009
4857.5,64.00289917,28.78619957,2.78550005,0.110684998,60.82920075,97.84140015
4858,57.96620178,34.46009827,2.670300007,0.112451002,57.30319977,97.67229462
4858.5,39.40990067,77.86070252,2.655299902,0.095696002,62.65409851,99.53959656
4859,39.86420059,36.66260147,2.605200052,0.096923001,61.9294014,100.0142975
4859.5,37.33769989,62.57009888,2.64989996,0.115922004,60.23180008,99.54360199
4860,74.56639862,71.66429901,2.589600086,0.142575994,62.12760162,99.46269989
4860.5,74.74069977,31.83410072,2.558900118,0.158453003,55.8083992,106.9573975
4861,66.94419861,16.96120071,2.559700012,0.123414002,76.23349762,111.9769974
4861.5,27.35280037,31.31920052,2.643100023,0.092308,71.4315033,111.9358902
4862,34.63679886,89.37349701,2.744600058,0.068228997,58.92720032,95.37159729
4862.5,40.97449875,1950,2.686100006,0.067241997,54.95019913,92.28579712
4863,73.29989624,102.9461975,2.601099968,0.115898997,53.41090012,92.64269257
4863.5,38.52519989,24.5345993,2.698999882,0.147330999,67.15460205,105.7895966
4864,33.18999863,37.33819962,2.578200102,0.108914003,65.75990295,106.4623032
4864.5,76.03700256,48.03290176,2.594500065,0.113842003,60.90779877,102.0624008
4865,103.6156006,21.23959923,2.676300049,0.214468002,74.23529816,119.1964035
4872.5,102.9375992,21.29910088,2.665600061,0.228635997,71.9056015,125.239296
4873,89.47799683,13.3281002,2.592900038,0.254689992,70.20850372,132.1979065
4873.5,113.3174973,10.44439983,2.747800112,0.225144997,68.8042984,125.9322052
4874,95.67199707,11.17689991,2.699899912,0.228547007,73.0719986,131.8867035
4874.5,90.98960114,8.262000084,2.679199934,0.141972005,66.86579895,129.6184998
4875,48.66559982,11.18550015,2.693500042,0.152795002,62.21839905,118.5442963
4875.5,52.2439003,19.20540047,2.72210002,0.131005004,61.01869965,103.7345963
4876,83.24629974,12.69769955,2.820899963,0.310342014,75.68430328,123.7393951
4876.5,80.64900208,16.21080017,2.853800058,0.294564992,70.46749878,140.5659027
4877,62.75559998,15.48250008,2.664099932,0.337927997,64.97080231,125.0995026
4877.5,62.50590134,13.62300015,2.694999933,0.327551007,63.34210205,118.242897
4878,100.6082993,23.55170059,2.722300053,0.313371003,66.61209869,120.9067917
4878.5,90.14790344,10.60309982,2.691600084,0.312413991,71.32910156,133.5070953
4879,88.54049683,10.66730022,2.684000015,0.318159998,69.93840027,135.6369934
4879.5,91.0298996,10.55200005,2.71329999,0.304116011,68.82340241,129.3320007
4880,100.9033966,11.89340019,2.695600033,0.204786003,67.92269898,123.8420029
4880.5,109.0122986,11.22019959,2.698400021,0.259294003,70.56009674,128.0252075
4881,55.60449982,8.821200371,2.66079998,0.322014988,72.95130158,133.4537048
4881.5,102.5873032,18.12129974,2.702800036,0.321683019,61.12409973,114.0907059
4882,95.41280365,18.25239945,2.690000057,0.320052981,68.33640289,121.2097015
4882.5,104.3607025,10.04329968,2.703200102,0.327210993,71.01190186,139.6103973
