DEPT,RHOB,TNPH,ECGR,RD,DTCO,DTSM
4064.5,2.523799896,0.256994993,98.15879822,0.827000022,100.4360962,220.2964935
4065,2.508399963,0.277693003,98.91349793,0.706700027,98.42960358,210.3511963
4065.5,2.514600039,0.285869002,88.56829834,0.989099979,97.81479645,207.4951935
4066,2.526000023,0.279531002,87.16519928,1.041800022,97.95970154,209.4700928
4066.5,2.526799917,0.270681977,98.7779007,0.769599974,97.56130981,206.1992035
4067,2.528399944,0.264968008,101.3478012,0.821500003,97.81700134,206.4075928
4067.5,2.531699896,0.272392988,90.69309998,0.920000017,96.69650269,203.5863037
4068,2.543499947,0.268272996,92.87830353,0.829699993,98.19409943,207.6368866
4068.5,2.536200047,0.266730994,92.26370239,0.927600026,98.56539917,210.3943024
4069,2.534800053,0.267304003,89.02490234,0.865100026,100.2885971,216.5899048
4069.5,2.526299954,0.287779987,90.50689697,0.996699989,99.00219727,213.6331024
4070,2.513499975,0.263188988,95.76390076,0.969200015,98.02479553,210.3241119
4070.5,2.524699926,0.278246015,86.49089813,0.86680001,96.6969986,202.7153015
4071,2.521300077,0.263707012,99.79889679,0.760299981,91.83529663,191.842804
4071.5,2.615400076,0.241375014,98.53859711,0.815299988,98.19539642,201.3907929
4072,2.593100071,0.260401994,92.93260193,0.818899989,100.3663025,218.2687988
4072.5,2.509200096,0.263568997,88.45110321,0.938799977,101.2774963,221.013504
4073,2.508100033,0.281953991,76.95420075,0.999800026,99.56539917,216.9020996
4073.5,2.521699905,0.249599993,99.18049622,0.76849997,98.60910034,211.7606964
4074,2.527199984,0.283565998,104.1452026,0.771200001,97.72850037,208.3663025
4074.5,2.533600092,0.252143979,102.4950028,0.778900027,96.31040192,203.6766052
4075,2.550800085,0.260926008,99.01609802,0.869400024,96.18409729,201.2369995
4075.5,2.549999952,0.249591008,93.1140976,0.861199975,99.08029938,208.138794
4076,2.520400047,0.268005014,89.12689972,0.893999994,99.59400177,213.7140045
4076.5,2.519299984,0.265105009,92.6292038,0.879299998,98.32039642,209.1878967
4077,2.516799688,0.262697995,93.31729889,0.81279999,96.56900787,201.3506012
4077.5,2.529200077,0.235174999,98.69490051,0.750699997,96.47810364,200.4998932
4078,2.531599999,0.255755991,97.00579834,0.884299994,96.01899719,199.5030823
4078.5,2.516299963,0.251336008,89.71150208,0.911599994,98.20410919,206.8179016
4079,2.523999929,0.258430004,85.87539673,0.921599984,98.1690979,205.6649017
4079.5,2.562000036,0.248326004,92.07099915,0.863900006,95.72619629,203.0007935
4080,2.505399942,0.256567985,86.02400208,0.776600003,98.96990204,208.4598999
4080.5,2.516000032,0.251549006,87.24420166,0.909099996,98.27230072,209.1918945
4081,2.519399881,0.276784003,99.43000031,0.80339998,98.4648056,211.1244965
4081.5,2.539099932,0.257336021,100.4524994,0.833299995,96.77249908,202.9642944
4082,2.523499966,0.271254003,91.49469757,0.873700023,97.58439636,201.396698
4082.5,2.497499943,0.288395017,84.98300171,0.927100003,100.7769013,213.8666992
4083,2.525700092,0.267563999,79.92990112,0.835099995,100.3907013,215.7805939
4083.5,2.540199995,0.253082991,93.94380188,0.753099978,97.57219696,206.2230988
4084,2.529500008,0.255807996,90.17350006,0.934899986,96.123703,200.2631073
4084.5,2.5079,0.284731001,86.17070007,0.887399972,98.55470276,206.9874878
4085,2.558399916,0.276091993,87.65950012,1.011399984,101.4593964,219.39328
4085.5,2.515300036,0.280287981,97.10810089,0.747099996,98.41899872,211.6414948
4086,2.520299912,0.279619008,92.72640228,0.91170001,98.542099,209.7796936
4086.5,2.505500078,0.292966992,92.31970215,0.865100026,99.43920136,210.3433075
4087,2.521100044,0.289494008,92.76609802,0.918900013,100.2921982,219.7812042
